iter	RMSE
0	409.4842813
1	391.2288922
2	374.3151972
3	358.166984
4	342.471479
5	327.23824
6	313.1604981
7	299.6277834
8	286.7599571
9	274.1501338
10	262.1287279
11	250.7679805
12	240.0617971
13	229.667831
14	219.7782593
15	210.4618539
16	201.4063103
17	192.8220254
18	184.2589138
19	176.4554566
20	168.7702942
21	161.4063902
22	154.629794
23	147.8767964
24	141.4231719
25	135.4830178
26	129.9044966
27	124.4171763
28	119.0366221
29	114.1217329
30	109.4708295
31	104.8712619
32	100.5599535
33	96.44533046
34	92.44211632
35	88.59643478
36	84.86099566
37	81.31627477
38	77.91153827
39	74.83499673
40	71.73284727
41	68.8895715
42	66.1176662
43	63.36296388
44	60.79904709
45	58.37908104
46	56.09445732
47	53.95777138
48	51.85878792
49	49.86494462
50	48.01777436
51	46.18847851
52	44.39710673
53	42.67454369
54	41.06918449
55	39.56294145
56	38.11937475
57	36.74176183
58	35.39094016
59	34.14619671
60	32.92147893
61	31.76715318
62	30.73246548
63	29.72602488
64	28.76082904
65	27.86089809
66	26.985361
67	26.14470988
68	25.36283565
69	24.62359472
70	23.92727456
71	23.27391161
72	22.61883843
73	22.02999163
74	21.46610587
75	20.9542712
76	20.48134605
77	20.0163104
78	19.60332547
79	19.16060183
80	18.7512321
81	18.38540289
82	17.98450263
83	17.62132341
84	17.31526008
85	17.04873973
86	16.74211283
87	16.45980605
88	16.21611888
89	16.00026236
90	15.75952036
91	15.5562523
92	15.34466518
93	15.14207506
94	14.96876135
95	14.79240411
96	14.64949225
97	14.47366594
98	14.30328592
99	14.1906177
100	14.06406407
101	13.95945374
102	13.8300445
103	13.73646159
104	13.65171847
105	13.54241549
106	13.43525085
107	13.35783548
108	13.24656265
109	13.15840222
110	13.04823522
111	12.96867763
112	12.88975109
113	12.84488908
114	12.76890874
115	12.68452914
116	12.59898863
117	12.53248227
118	12.46146073
119	12.39239502
120	12.30806113
121	12.26252357
122	12.22261877
123	12.18503502
124	12.11247037
125	12.05386535
126	12.01067684
127	11.9496598
128	11.90206811
129	11.86407929
130	11.82709034
131	11.77168034
132	11.71713189
133	11.68933293
134	11.62958878
135	11.59327182
136	11.54180948
137	11.49970222
138	11.46426272
139	11.41356445
140	11.38426072
141	11.35969248
142	11.30912112
143	11.26766477
144	11.21801802
145	11.17484585
146	11.15884529
147	11.14658986
148	11.12493796
149	11.11099497
150	11.09515305
151	11.0838715
152	11.05051815
153	11.02781097
154	11.01179593
155	10.97052065
156	10.95210785
157	10.92140754
158	10.9091846
159	10.90081636
160	10.87337948
161	10.86876737
162	10.86233114
163	10.81470461
164	10.80236617
165	10.789712
166	10.78624667
167	10.77594414
168	10.77218162
169	10.73853552
170	10.72982322
171	10.68284116
172	10.66959721
173	10.66524871
174	10.66135225
175	10.63500909
176	10.63014074
177	10.60566072
178	10.60202316
179	10.59759548
180	10.59340319
181	10.58609409
182	10.56338596
183	10.55451973
184	10.55016611
185	10.54574493
186	10.53970832
187	10.53572981
188	10.52451676
189	10.5199931
190	10.51320427
191	10.50899527
192	10.50500396
193	10.47584947
194	10.47176233
195	10.46778611
196	10.46329375
197	10.45900712
198	10.45460051
199	10.45035493
200	10.44636359
201	10.44223078
202	10.43826189
203	10.43442742
204	10.42629905
205	10.4226724
206	10.41890599
207	10.41512376
208	10.41141839
209	10.40780598
210	10.40460432
211	10.40119981
212	10.39770763
213	10.39114958
214	10.38749754
215	10.38411274
216	10.37826203
217	10.37496226
218	10.36905273
219	10.36568048
220	10.3622636
221	10.35906535
222	10.35570322
223	10.35226434
224	10.34894209
225	10.34569924
226	10.33766487
227	10.33452973
228	10.3313687
229	10.32814191
230	10.32491211
231	10.32172906
232	10.31857565
233	10.31543846
234	10.31235452
235	10.30926237
236	10.30619586
237	10.30314313
238	10.2986816
239	10.29572672
240	10.2927442
241	10.28980643
242	10.28684304
243	10.28387888
244	10.28092673
245	10.27800382
246	10.2750971
247	10.2722331
248	10.26933861
249	10.26648848
250	10.26364328
251	10.26083003
252	10.25455321
253	10.25174072
254	10.24895424
255	10.23557708
256	10.23277205
257	10.19075574
258	10.18795876
259	10.18517417
260	10.18241338
261	10.17966223
262	10.17693145
263	10.17423945
264	10.17151914
265	10.16883047
266	10.16614656
267	10.16042653
268	10.15775081
269	10.15508023
270	10.1524035
271	10.14979713
272	10.14717045
273	10.11000377
274	10.10739481
275	10.104791
276	10.1021952
277	10.09961533
278	10.09705757
279	10.09448348
280	10.09194456
281	10.08942412
282	10.08689997
283	10.08438767
284	10.08186612
285	10.07937963
286	10.07689847
287	10.07442105
288	10.07196413
289	10.06949596
290	10.06704919
291	10.06460845
292	10.06217325
293	10.05975221
294	10.05733375
295	10.05493136
296	10.05253515
297	10.0501392
298	10.02834361
299	10.02595817
300	10.02358931
301	10.0212196
302	10.01885908
303	10.01649858
304	10.01415825
305	10.00836006
306	10.00602536
307	10.00368938
308	10.00136564
309	9.999056988
310	9.968792411
311	9.96648051
312	9.964189896
313	9.961904933
314	9.959611739
315	9.927110731
316	9.924831375
317	9.922560958
318	9.920306461
319	9.9180457
320	9.915797662
321	9.91355168
322	9.911314472
323	9.909074793
324	9.906855438
325	9.904638713
326	9.902417442
327	9.900213534
328	9.898004525
329	9.873412498
330	9.83934204
331	9.837120372
332	9.831132913
333	9.828916664
334	9.82671564
335	9.824529353
336	9.822351742
337	9.820180284
338	9.818012825
339	9.815850913
340	9.813681773
341	9.811532648
342	9.809393648
343	9.807261447
344	9.805135008
345	9.803014246
346	9.800896347
347	9.798780482
348	9.79666373
349	9.794557782
350	9.771979963
351	9.769869776
352	9.767773937
353	9.765683108
354	9.763598163
355	9.730773023
356	9.72864732
357	9.726559712
358	9.724471246
359	9.722399155
360	9.720334988
361	9.718282586
362	9.716228761
363	9.71418672
364	9.712143354
365	9.710104416
366	9.70806085
367	9.706038457
368	9.655305921
369	9.653267506
370	9.651241583
371	9.649226666
372	9.64720763
373	9.641346659
374	9.63933072
375	9.637332163
376	9.63533048
377	9.633345261
378	9.631366583
379	9.629383392
380	9.627395398
381	9.625428906
382	9.623466581
383	9.621509625
384	9.619563325
385	9.597479471
386	9.595510582
387	9.593547703
388	9.591603016
389	9.589669515
390	9.587735633
391	9.585810402
392	9.583884662
393	9.581968089
394	9.580041773
395	9.578133463
396	9.576232288
397	9.574332468
398	9.572431051
399	9.570533219
